,name,expe,position_company,addr
0,Holger Wittwer SAP's Intelligent Enterprise institute,No Entry Found,No Entry Found,No Entry Found
1,Andreas Follér,"






    TRATON GROUP
  










    Michaël Berglund Board Value
  




","
      Chief Sustainability Officer
    ","

      Greater Stockholm Metropolitan Area
    


          Contact info
        

"
2,Tanya Neech Scania,No Entry Found,No Entry Found,No Entry Found
3,Chris Leong Schneider Electric,No Entry Found,No Entry Found,No Entry Found
4,Henry Kim,"






    Schneider Electric
  




 ","
      Global Head Of Marketing at Schneider Electric
    ","

      Greater Paris Metropolitan Region
    


          Contact info
        

"
5,Simona Radu,"






    Schneider Electric
  










    Academia de Studii Economice din București
  




","
      Head of Global Marketing Communications at Schneider Electric
    ","

      Greater Paris Metropolitan Region
    


          Contact info
        

"
6,Ras Kaur,"






    Schneider Electric
  










    University of Birmingham
  




","
      UK&I Circular Business Deployment Leader at Schneider Electric
    ","

      United Kingdom
    


          Contact info
        

"
7,Judith Wiese  Siemens,No Entry Found,No Entry Found,No Entry Found
8,Sarah Handley CEnv FIEMA,"






    Siemens Energy
  










    Oxford Brookes University
  




","
      Head of Sustainability and Environmental Governance at Siemens Energy
    ","

      United Kingdom
    


          Contact info
        

"
9,Herry Cho,"






    SGX
  










    University of Oxford
  




","
      MD, SGX Group Head Sustainability & Sustainable Finance (Singapore Exchange)
    ","

      Singapore
    


          Contact info
        

"
10,Tom King,"






    Sir Robert McAlpine
  










    The University of Edinburgh
  




","
      Senior Sustainability Manager at Sir Robert McAlpine
    ","

      United Kingdom
    


          Contact info
        

"
11,Martin McGinnis,"






    Skyscanner
  




 ","
      Enterprise & Emerging Partnerships Lead - Skyscanner
    ","

      United Kingdom
    


          Contact info
        

"
12,Ruth Arber Snap Inc,No Entry Found,No Entry Found,No Entry Found
13,Andrew Willcox Societe Generale,No Entry Found,No Entry Found,No Entry Found
14,Sékou Dramé SONATEL ,No Entry Found,No Entry Found,No Entry Found
15,Naomi Swickard, ,"
      Climate Change and Sustainable Development leader
    ","

      Greater Annecy Area
    


          Contact info
        

"
16,Sandy Smith Sphera,No Entry Found,No Entry Found,No Entry Found
17,Lucy Edwards Spotify,No Entry Found,No Entry Found,No Entry Found
18,Olga Puzanova,"






    NBCUniversal
  










    University of Warsaw
  




","
      SVP of Marketing at Hayu NBC Universal • Featured in Campaign's and Marketing Week's Power 100 since 2018 • Campaign's Top 10 Marketeer of 2021  • Non-Exec Board Member at ERA • OK Mentor Advisor •
    ","

      London, England, United Kingdom
    


          Contact info
        

"
19,Martin Pei,"






    SSAB AB
  










    Kungliga Tekniska Högskolan, Stockholm Sweden
  




","
      Executive Vice President & CTO at SSAB AB
    ","

      Greater Stockholm Metropolitan Area
    


          Contact info
        

"
20,Charlotte Lander,"






    Standard Chartered Bank
  




 ","
      Digital marketing strategist | Director, Marketing & Communications at Standard Chartered Bank 
    ","

      London Area, United Kingdom
    


          Contact info
        

"
21,Claire Dixon Standard Chartered,No Entry Found,No Entry Found,No Entry Found
22,Chris J (Mohawk) Reed,"






    Black Marketing - Enhancing Your Personal Brand on LinkedIn - 2,000 LinkedIn Recommendations
  




 ","
      Enhancing Your Personal Brand on LinkedIn  🇸🇬 ""The Only CEO With A Mohawk"" 🇸🇬 CEO & Founder of Black Marketing since 2013: Finding you New Clients/Investors or a New Job with our Personal Branding Service + FREE CV
    ","

      Singapore, Singapore
    


          Contact info
        

"
23,Rola Abu Manneh,"






    Standard Chartered Bank
  




 ","
      Chief Executive Officer, Standard Chartered Bank UAE.
    ","

      United Arab Emirates
    


          Contact info
        

"
24,Rick Sanderson FIFST,"






    NSF International
  










    Cranfield University - Cranfield School of Management
  




","
      NSF Director of ESG & Sustainability Risk - Food & Beverage
    ","

      Milton Keynes, England, United Kingdom
    


          Contact info
        

"
25,Anne Boden,"






    Starling Bank
  










    Middlesex University
  




","
      CEO Starling Bank
    ","

      London, England, United Kingdom
    


          Contact info
        

"
26,Toni Coulson Starling Bank,No Entry Found,No Entry Found,No Entry Found
27,Peter J. Harding,"






    SUNTORY BEVERAGE & FOOD EUROPE
  










    Durham University
  




","
      Chief Executive Officer at SUNTORY BEVERAGE & FOOD EUROPE
    ","

      United Kingdom
    


          Contact info
        

"
28,James Byrne Sustainable Ventures,No Entry Found,No Entry Found,No Entry Found
29,Carl Olivier,"






    Sustained
  




 ","
      Co-Founder & CEO
    ","

      London, England, United Kingdom
    


          Contact info
        

"
30,Niclas Carlsson Swedish Energy Agency,No Entry Found,No Entry Found,No Entry Found
31,Jeremy Oppenheim SystemiQ,No Entry Found,No Entry Found,No Entry Found
32,Henrique Pereira,"






    Taka Solutions
  










    Universidade do Porto
  




","
      Chief Executive Officer at Taka Solutions
    ","

      United Arab Emirates
    


          Contact info
        

"
33,Richard Evans,"






    Talent Nation
  










    Melbourne Business School
  




","
      Sustainability, ESG, Environment, Sustainable Finance and Climate & Energy recruitment.
    ","

      Melbourne, Victoria, Australia
    


          Contact info
        

"
34,Koushik Chatterjee,"






    IFRS Foundation
  










    The Institute of Chartered Accountants of India
  




","
      Executive Director & Chief Financial Officer, Member of the Board
    ","

      Mumbai, Maharashtra, India
    


          Contact info
        

"
35,Brian Latham,"






    Telefonica
  










    Les Mills / Lifetime
  




","
      Strategy and Businesss Transformation IoT and Big Data and Industry Analyst TTECH Lead at Telefonica
    ","

      London, England, United Kingdom
    


          Contact info
        

"
36,Mark Freer,"






    Heads Up and Freer Limited
  










    Swansea University
  




","
      🌏Executive & Leadership Coach > 💯Leadership Consultant > 💡Communications Expert > 🎙Podcaster > 🚀Supporting business leaders ""show up"", ""build high performance teams"" & ""lead change""
    ","

      Berkhamsted, England, United Kingdom
    


          Contact info
        

"
37,Mark Scanlon,"






    Tenet Group
  










    University of Limerick
  




","
      Chief Executive at Tenet Group
    ","

      United Kingdom
    


          Contact info
        

"
38,Linas Kesiūnas,"






    TerraCubed
  










    Mykolas Romeris University
  




","
      CTO - Terracubed
    ","

      Vilnius, Vilniaus, Lithuania
    


          Contact info
        

"
39,Jessica Hsiao,"






    TerraCycle
  










    College of Law
  




","
      B2B Business Development Associate at TerraCycle
    ","

      Sydney, New South Wales, Australia
    


          Contact info
        

"
40,Alison Rothnie Tesco,No Entry Found,No Entry Found,No Entry Found
41,Amanda Rendle,"






    TransUnion
  




 ","
      Non Executive Director at Tesco Bank
    ","

      United Kingdom
    


          Contact info
        

"
42,Raz Godelnik, ,"
      Assistant Professor at Parsons School of Design. My book: Rethinking Corporate Sustainability in the Era of Climate Crisis - A Strategic Design Approach
    ","

      Princeton, New Jersey, United States
    


          Contact info
        

"
43,Joanne Kay,"






    Tesco
  










    University of Lincoln
  




","
      Marketing and brand management in retail, hospitality & finance 
    ","

      Great Amwell, England, United Kingdom
    


          Contact info
        

"
44,Ken  Murphy Tesco,No Entry Found,No Entry Found,No Entry Found
45,Tony McElroy,"






    Tesco
  










    The University of Glasgow
  




","
      I lead TESCO Sustainability Campaigns. Communications, Government & Corporate Affairs. Charity board member and Director.
    ","

      United Kingdom
    


          Contact info
        

"
